# EDA2 antenna locations.
# lines beginning with '#' and blank lines are ignored. Do not leave spaces in empty lines.
# locations of antennas relative to the centre of the array in local topocentric
# "east". "north". "height". Units are meters.
# Format: Antenna_name east north height
# antenna names must be 8 chars or less
# fields are separated by white space
Ant217	-11.219	-2.175	0.039
Ant218	-10.998	1.059	0.028
Ant219	-10.528	2.941	0.015
Ant255	-16.12	-3.157	0.041
Ant254	-16.958	-0.291	0.004
Ant253	-17.011	1.29	0.027
Ant245	-15.487	1.304	0.032
Ant229	-12.963	2.788	0.015
Ant230	-13.654	0.576	0.024
Ant231	-12.378	-0.773	0.032
Ant240	-15.151	-4.601	0.058
Ant244	-15.256	-0.404	0.039
Ant243	-14.105	-1.391	0.031
Ant242	-15.911	-1.749	0.053
Ant241	-14.205	-3.402	0.053
Ant205	-8.348	-5.613	0.100
Ant206	-8.909	-7.645	0.008
Ant212	-11.725	-10.768	0.083
Ant213	-10.808	-9.328	0.067
Ant256	-16.353	-5.907	0.065
Ant239	-14.17	-5.84	0.065
Ant238	-14.817	-7.644	0.065
Ant237	-14.229	-8.962	0.078
Ant214	-10.658	-6.94	0.071
Ant215	-11.922	-5.501	0.062
Ant216	-10.025	-3.676	0.055
Ant232	-13.023	-4.381	0.057
Ant236	-12.365	-12.505	0.009
Ant235	-13.914	-10.645	0.081
Ant234	-12.584	-8.743	0.068
Ant233	-12.903	-7.197	0.074
Ant140	-1.431	-10.002	0.061
Ant145	-3.093	-11.075	0.078
Ant146	-2.489	-9.087	0.059
Ant173	-4.494	-9.103	0.067
Ant211	-10.249	-11.693	0.095
Ant210	-10.161	-13.664	0.010
Ant209	-8.993	-12.888	0.094
Ant208	-8.812	-10.788	0.083
Ant174	-4.841	-11.454	0.078
Ant175	-5.489	-12.836	0.086
Ant178	-6.413	-15.192	0.105
Ant179	-7.788	-14.449	0.106
Ant207	-9.269	-9.281	0.076
Ant182	-5.992	-8.978	0.080
Ant181	-7.465	-9.757	0.086
Ant180	-6.793	-11.872	0.082
Ant073	4.653	-16.851	0.101
Ant107	2.901	-14.38	0.083
Ant108	2.622	-15.922	0.112
Ant109	2.864	-17.295	0.116
Ant177	-4.154	-16.401	0.099
Ant176	-4.144	-13.986	0.086
Ant144	-3.448	-12.712	0.084
Ant143	-2.284	-14.023	0.085
Ant110	1.261	-17.549	0.010
Ant111	0.503	-15.756	0.103
Ant112	1.409	-13.889	0.085
Ant113	0.022	-13.472	0.075
Ant142	-2.778	-15.669	0.096
Ant141	-1.437	-17.063	0.010
Ant115	1.894	-11.231	0.052
Ant114	0.297	-11.446	0.060
Ant040	10.081	-12.436	0.006
Ant041	9.683	-14.644	0.074
Ant042	8.451	-12.479	0.064
Ant043	9.461	-10.845	0.056
Ant106	3.621	-11.93	0.053
Ant078	4.5	-8.239	0.042
Ant077	5.156	-9.882	0.053
Ant076	4.946	-11.443	0.065
Ant045	8.395	-8.347	0.033
Ant068	6.099	-8.25	0.040
Ant069	7.845	-9.898	0.047
Ant070	7.755	-11.293	0.062
Ant075	4.015	-13.262	0.073
Ant074	5.711	-15.634	0.084
Ant072	7.455	-14.797	0.081
Ant071	6.771	-12.75	0.071
Ant001	16.202	-6.317	0.017
Ant012	14.161	-5.077	0.017
Ant013	14.233	-7.227	0.025
Ant014	12.316	-11.039	0.042
Ant067	7.301	-5.672	0.003
Ant048	9.345	-2.736	0.019
Ant047	8.201	-4.62	0.019
Ant046	9.913	-7.819	0.041
Ant015	13.605	-9.468	0.004
Ant016	12.548	-7.184	0.030
Ant017	12.56	-4.078	0.018
Ant036	11.145	-2.181	0.013
Ant044	9.675	-9.42	0.039
Ant039	11.105	-9.682	0.044
Ant038	10.95	-6.491	0.031
Ant037	11.046	-3.639	0.011
Ant002	16.448	-3.671	-0.005
Ant003	17.517	-1.114	-0.010
Ant004	16.81	0.961	-0.034
Ant005	16.658	3.036	-0.037
Ant050	8.131	1.038	-0.008
Ant049	9.155	-0.467	0.006
Ant035	10.64	-0.779	0.011
Ant034	11.507	1.024	0.003
Ant009	14.096	-0.643	-0.006
Ant010	15.053	-1.837	-0.013
Ant011	14.706	-3.576	0.003
Ant018	12.66	-1.845	0.013
Ant033	10.136	1.94	-0.005
Ant022	13.759	3.242	-0.029
Ant020	13.901	0.835	0.001
Ant019	12.608	0.097	0.017
